"","Year","Month","Day","Open","High","Low","Close","AdjClose","Volume","TRain"
"236","2019","12","06",27839.679688,28035.849609,27839.679688,28015.060547,28015.060547,223310000,1032
"237","2019","12","09",27987.050781,28010.419922,27906.140625,27909.599609,27909.599609,2.17e+08,1195
"238","2019","12","10",27900.650391,27949.019531,27804,27881.720703,27881.720703,213250000,1496
"239","2019","12","11",27867.310547,27925.5,27801.800781,27911.300781,27911.300781,213510000,1244
"240","2019","12","12",27898.339844,28224.949219,27859.869141,28132.050781,28132.050781,277740000,2593
"241","2019","12","13",28123.640625,28290.730469,28028.320313,28135.380859,28135.380859,250660000,1283
"242","2019","12","16",28191.669922,28337.490234,28191.669922,28235.890625,28235.890625,286770000,888
"243","2019","12","17",28221.75,28328.630859,28220.560547,28267.160156,28267.160156,286770000,4330
"244","2019","12","18",28291.439453,28323.25,28239.279297,28239.279297,28239.279297,289890000,581
"245","2019","12","19",28278.310547,28381.480469,28278.240234,28376.960938,28376.960938,262570000,623
"246","2019","12","20",28608.640625,28608.640625,28445.599609,28455.089844,28455.089844,603780000,783
"247","2019","12","23",28491.779297,28582.490234,28491.779297,28551.529297,28551.529297,223530000,8328
"248","2019","12","24",28572.570313,28576.800781,28503.210938,28515.449219,28515.449219,86150000,100
"249","2019","12","26",28539.460938,28624.099609,28535.150391,28621.390625,28621.390625,155970000,326
"250","2019","12","27",28675.339844,28701.660156,28608.980469,28645.259766,28645.259766,182280000,891
"251","2019","12","30",28654.759766,28664.689453,28428.980469,28462.140625,28462.140625,181600000,1264
"252","2019","12","31",28414.640625,28547.349609,28376.490234,28538.439453,28538.439453,193340000,356
